ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00129H75QI,58,F,"311,133",430,1
00130C94GP,33,M,"296,322",220,0
00137X41CD,49,M,"363,144",388,1
00139F51QE,46,M,"315,221",263,1
00140V89YT,36,M,"779,277",489,1
00141I56XV,40,F,"292,216",205,0
00142J61TJ,37,F,"453,501",95,0
00149E58QC,40,M,"197,281",436,1
00149V45IO,27,M,"248,446",640,1
00152W66MO,36,F,"419,744",93,0
00163W34YW,52,F,"380,120",407,1
00166U36NR,26,F,"146,413",202,0
00172I72UL,61,M,"529,399",850,1
00173Q33YX,60,F,"150,611",315,1
00174P76OQ,59,M,"737,673",525,1
00177D07HX,61,F,"366,653",748,0
00184X69JT,42,M,"397,493",241,1
00186P04PT,33,M,"292,406",323,0
00187N85DF,63,F,"331,237",433,1
00188E43DF,60,M,"240,020",258,1
00189M02HG,64,M,"121,018",311,0
00191S39KZ,46,M,"373,478",367,1
00195G41IU,32,F,"384,016",272,1
00195P25IN,30,F,"213,547",230,0
00195Q10ZP,35,M,"257,308",40,0
00197O44XP,34,M,"282,501",823,1
00198D05HX,51,F,"252,155",240,0
00198H12HX,57,M,"480,760",899,1
00198H71BB,26,M,"132,599",436,0
00201E56ZV,64,F,"153,181",275,0
00202X22MN,53,F,"431,624",296,0
00205O79UQ,38,M,"498,894",296,1
00209O01CF,65,F,"97,627",468,1
00213H22RL,37,M,"324,297",301,1
00214G18BG,49,F,"547,755",296,1
00214H08FS,31,F,"405,807",353,0
00218H09KC,65,F,"159,648",830,1
00218V46WS,62,F,"105,133",311,0
00221E71ZX,49,M,"298,254",266,1
00222P84OU,36,F,"282,392",462,1
00223L77HZ,63,M,"414,729",595,1
00226J79YI,59,M,"412,753",198,0
00227R80JC,47,M,"398,253",327,1
00228R68ZE,43,F,"525,024",479,1
00228Z35MR,43,M,"405,642",201,0
00230U63RP,54,F,"92,864",78,1
00232B56RM,55,F,"308,715",317,0
00237O77NS,31,F,"357,850",480,1
00250P24JI,45,M,"352,042",94,1
00251B45QQ,62,F,"407,427",373,0
00251D05TO,30,M,"298,431",496,1
00255A68BB,29,M,"159,186",302,1
00257F20SW,34,F,"448,273",87,0
00260M66JI,25,F,"344,519",450,0
00261M80HZ,62,M,"293,809",269,0
00263W23XQ,58,M,"521,180",624,1
00264J96QC,29,F,"193,331",274,0
00273F04YP,63,M,"491,967",370,1
00277V91XO,63,M,"364,455",319,1
00279E12YC,33,F,"329,426",224,0
00281H13IL,32,M,"137,376",262,0
00282H90KM,46,M,"623,584",348,1
00283Q67LW,33,F,"440,311",286,0
00283R71ZE,44,F,"327,656",271,0
00284C65GH,30,F,"286,077",358,1
00289N46JG,40,M,"156,705",145,0
00299I24KW,42,M,"547,376",722,1
00302F94QD,50,F,"418,992",37,0
00302J37VM,40,F,"410,179",33,0
00309P39HF,60,M,"245,295",269,0
00310Q42MZ,33,M,"130,517",322,0
00315I46PY,62,F,"502,571",253,1
00318K61KI,61,F,"231,939",505,1
00319G52KN,39,F,"402,819",293,0
00319W54HL,33,M,"126,085",65,1
00327I16CN,34,F,"300,107",280,0
00332G98OD,52,M,"548,641",263,0
00333G45BT,55,F,"452,491",414,1
00335D45ZO,38,M,"250,767",81,0
00336T66SQ,61,M,"739,615",490,1
00342X44FK,50,M,"410,704",312,0
00345D80KY,56,F,"460,232",454,1
00349F03KO,42,M,"383,210",323,0
00352T67FO,50,F,"428,269",359,0
00361H11UT,26,M,"201,025",204,1
00364V23LI,50,M,"703,957",224,1
00365W93ZJ,47,M,"448,851",442,0
00367J12EU,49,M,"313,491",319,0
00370E34LE,51,F,"460,696",613,1
00373G59CP,34,M,"212,101",20,0
00375D60YS,39,F,"403,288",267,1
00376J00ZZ,36,F,"359,117",380,1
00379Z36SA,30,M,"206,429",265,0
00382V59DF,31,M,"171,595",462,1
00383N03UQ,39,M,"158,799",455,0
00385Q88UV,56,M,"450,129",449,1
00389G25SI,44,M,"594,891",848,1
00398Y03ZM,64,M,"325,588",91,0
00401K86FK,62,F,"423,189",546,1
00401O09TQ,49,F,"297,603",338,0
00403U35TW,28,F,"139,173",406,1
00408L45WP,61,F,"369,072",82,0
00408Y08KQ,32,M,"151,120",331,1
00410R16TC,25,F,"398,736",279,0
00417A28PT,28,M,"215,760",418,1
00419G61MI,38,F,"317,861",341,0
00419O42OQ,52,M,"215,426",298,1
00419V35NQ,43,M,"366,221",431,1
00429R01AE,30,M,"139,415",249,0
00431G07OO,52,M,"431,286",399,1
00436Y85OW,49,F,"750,840",496,1
00440N64KQ,51,M,"195,015",84,0
00444U00JB,32,F,"488,667",15,0
00453H15DP,33,M,"267,485",397,1
00455K70WT,41,M,"420,102",330,0
00459L34ID,54,F,"530,883",302,0
00461I28ID,46,M,"326,522",361,1
00464V67EK,35,F,"240,805",281,1
00473N34QJ,46,M,"539,405",927,1
00475I88MC,43,M,"259,877",428,1
00493W41NP,32,F,"330,119",396,1
00500S08SF,39,M,"280,888",498,1
00501G72LQ,36,F,"427,181",265,0
00501L02HF,53,M,"339,461",238,1
00501T24RS,32,M,"269,414",333,0
00502D01IX,34,M,"205,253",286,0
00504A56CT,59,M,"500,732",209,0
00504T00RT,33,M,"243,617",372,1
00507E06MF,49,M,"134,492",479,0
00517Y96VA,62,F,"293,661",298,0
00518J26YC,27,F,"447,013",313,1
00518T21SS,63,F,"181,069",463,1
00520M39VD,33,F,"317,437",56,0
00520U36PQ,63,F,"403,709",821,1
00522N86WP,27,M,"205,214",596,1
00525V37OB,54,F,"450,053",361,1
00530T87YG,61,F,"199,896",416,1
00533R36MW,62,F,"194,712",150,0
00539H54NQ,45,M,"137,660",201,0
00542P53PF,58,F,"481,856",571,1
00543L30OC,58,M,"126,174",240,0
00546N40AX,43,F,"734,605",260,0
00546X20AD,33,F,"382,048",254,1
00548N04YU,59,F,"203,056",306,0
00551U40CI,52,M,"465,582",168,1
00553H11CJ,50,M,"212,319",431,0
00553J02LM,46,F,"366,016",125,0
00556C70FP,43,F,"661,573",562,1
00560M12PX,63,F,"411,613",686,1
00567R64FM,37,M,"397,731",213,1
00568J65SH,55,M,"138,584",975,1
00569N86LZ,28,F,"177,483",332,1
00570A36UB,55,M,"776,224",518,1
00573A72IV,63,M,"688,604",483,1
00573H82YB,29,F,"457,411",286,1
00573O29KC,29,F,"498,557",423,1
00581Q10GK,36,M,"290,958",275,0
00581V89BY,60,F,"479,149",339,1
00586N32TT,41,M,"176,922",324,1
00586U96UR,49,M,"405,799",275,1
00588Z20CE,57,F,"94,773",326,0
00591L30JZ,63,F,"413,181",529,1
00596L21AG,36,F,"608,235",500,0
00597M73JU,59,M,"347,636",426,1
00597U80TD,57,F,"199,264",30,1
00597Y41ON,49,F,"683,741",335,0
00600R42WH,41,M,"265,642",278,0
00604N95HR,40,F,"511,939",343,1
00607C34QX,28,F,"434,555",301,1
00607J41MX,59,F,"237,955",181,1
00614D96HJ,27,M,"230,490",348,0
00618Q42CL,35,M,"150,900",443,1
00619C80OJ,50,F,"458,736",60,0
00620C55TZ,38,M,"572,869",488,1
00621B59JV,64,M,"113,709",626,0
00622Q85VX,56,F,"241,616",120,0
00627F51PE,49,M,"495,549",141,1
00632Y77VT,41,F,"529,835",446,1
00633V61EC,57,M,"471,821",45,1
00636I79LV,56,M,"378,477",463,1
00638O43EA,51,F,"367,565",237,0
00641G28YH,61,M,"109,837",311,1
00643U81CS,30,M,"235,558",284,0
00649W73YA,51,F,"477,813",230,1
00655D11UW,31,M,"112,574",369,0
00658H28XP,35,F,"151,637",315,1
00658R45HF,53,M,"787,609",802,1
00659T59XL,30,F,"437,995",349,0
00666Q86JT,39,M,"444,372",337,1
00667B13SX,62,M,"411,862",422,1
00669I59LZ,33,F,"368,384",349,1
00674D31IS,47,F,"659,317",290,1
00674H38AW,60,F,"482,248",411,0
00677W20SF,33,F,"239,741",389,0
00682D83FR,51,M,"793,627",513,1
00683H66HF,29,F,"466,160",120,1
00684U17QW,59,M,"166,379",257,0
00692P42OU,36,M,"443,703",442,0
00697M49YH,55,M,"122,931",481,0
00698O55HC,55,M,"110,499",231,0
00704C92HW,51,F,"88,680",87,0
00705G84QD,34,F,"342,933",482,1
00705J21XS,30,M,"257,651",79,0
00705Q74LP,33,F,"331,717",346,0
00706L25FX,62,M,"137,580",344,0
00717V64OY,48,M,"385,394",424,1
00717W67CY,64,M,"779,778",380,1
00719I75XG,47,M,"170,486",238,0
00719L34GW,48,F,"347,008",487,1
00726J74XT,48,F,"483,365",325,1
00727W36KD,54,F,"303,965",71,0
00730M90XX,36,M,"196,575",350,1
00733E14KR,55,F,"408,051",98,0
00741J06PK,64,M,"106,193",790,0
00741O96XC,42,F,"341,971",891,0
00743F31QF,34,F,"401,235",253,0
00744S19FN,59,M,"308,839",107,0
00746S00UV,65,F,"166,531",15,0
00748R62RR,46,F,"459,747",938,1
00750T82EG,25,F,"379,876",340,0
00751P30ZX,48,F,"531,717",798,1
00752S07GF,51,F,"358,352",878,1
00753Y39FX,28,F,"469,075",252,0
00754G43CV,31,F,"334,384",371,1
00755W40EI,44,M,"181,029",334,0
00757R94ZC,56,M,"740,746",140,1
00759T72LN,51,F,"378,904",405,1
00760K33VH,51,F,"421,677",779,1
00763N11CY,56,F,"171,003",507,0
00764I35GI,53,M,"513,727",786,1
00764Z54EI,56,F,"87,859",401,0
00768Z00MB,41,M,"394,836",254,0
00768Z27FB,63,M,"633,688",255,0
00769R93WL,45,F,"326,555",342,1
00772D21XX,44,M,"478,692",423,1
00774B38EU,59,F,"272,045",300,1
00779J88GP,30,F,"255,157",173,1
00784Q15XZ,54,M,"142,597",50,1
00788W35OF,65,F,"321,733",167,1
00789T30IT,41,F,"608,949",43,0
00799J78SE,33,F,"445,744",324,0
00801Q34ZT,33,F,"487,368",275,0
00805J05YV,31,M,"286,693",224,0
00807X19YS,54,M,"367,247",167,1
00810O95VM,27,M,"191,639",962,1
00816A48NH,53,F,"319,445",685,1
00819E21EA,33,M,"194,434",286,0
00825B43UX,62,M,"391,364",146,0
00830V58JE,41,M,"592,416",8,0
00831G80LP,47,M,"293,732",380,1
00831N50BR,47,M,"146,687",457,1
00836Z49AU,37,M,"482,575",360,1
00842A00HN,25,M,"161,457",105,1
00843D54RP,35,M,"287,076",352,0
00843M17XT,29,M,"171,903",182,0
00845Q81TK,38,M,"744,203",236,1
00846L25IB,36,M,"758,280",161,1
00850H53IL,30,M,"285,007",796,1
00850P15CY,30,F,"478,325",464,1
00857V22KA,37,M,"434,249",318,0
00858L44ZP,31,F,"372,776",244,0
00859U97GB,53,M,"248,346",285,0
00860W36CG,39,M,"387,742",209,1
00863P24UX,43,M,"252,653",389,1
00865M93YQ,40,M,"304,007",226,0
00867G02AW,63,F,"488,995",648,0
00873Y86OK,61,F,"129,037",418,0
00875I88FU,51,F,"119,389",327,0
00877B53FP,64,M,"297,888",41,0
00881N43MB,46,M,"488,740",388,1
00883P48KD,52,F,"372,019",464,1
00884B00YM,65,F,"407,683",398,0
00884O08HH,54,F,"199,381",268,0
00886G69MO,62,M,"432,126",148,0
00886M72WM,35,F,"453,600",300,0
00889K93BP,63,F,"281,781",783,1
00891G22PA,59,F,"520,701",323,1
00894L73AU,26,M,"169,736",279,0
00898C15VM,64,F,"282,091",500,1
00901N73RR,39,M,"398,483",470,1
00901R07PT,51,F,"516,285",485,1
00903H73ZK,46,M,"164,721",473,1
00904F99MB,49,M,"548,824",146,1
00904I84IS,49,M,"291,493",460,1
00904P31DT,37,F,"665,368",295,1
00905S42UB,51,F,"446,627",490,1
00906I17QD,65,M,"391,174",326,0
00907E28ZU,59,F,"136,861",244,0
00908X63WZ,35,M,"100,259",480,1
00912D28FF,64,F,"426,720",227,1
00913B67KG,38,M,"330,965",364,1
00913R99BU,57,M,"781,754",181,1
00913V31TE,40,M,"212,213",284,1
00915M41NY,51,M,"485,904",850,1
00919E90FE,61,F,"171,549",254,0
00922G84AU,37,M,"264,193",268,0
00922L29OE,28,F,"196,229",257,0
00924F05LC,59,F,"457,080",348,0
00925V03AX,58,M,"635,837",360,1
00930E10QS,35,M,"298,021",488,1
00931S31VF,42,F,"630,717",217,1
00934C21WS,48,M,"290,833",207,0
00934D48UJ,36,M,"374,075",396,1
00939Z87HR,39,M,"125,176",255,0
00940B89BJ,60,F,"127,029",969,1
00943D49FD,59,F,"316,667",603,0
00943K45TT,36,F,"274,872",810,1
00947C06UC,30,M,"178,731",259,1
00947N26ZQ,60,F,"132,224",163,0
00948K59ZW,53,F,"513,061",995,1
00948M19XF,47,F,"344,040",958,1
00955D34KU,50,F,"279,883",993,0
00955L04CY,45,M,"331,459",357,1
00955S92OW,43,M,"582,915",132,1
00956F58IS,48,M,"347,048",298,0
00957D43YN,30,M,"110,721",373,1
00960O30FX,56,F,"200,357",84,0
00960S45IJ,35,M,"170,833",212,1
00964H06PP,52,F,"345,691",288,1
00966F87IK,27,F,"267,669",233,1
00967L28RH,56,M,"589,550",365,1
00973W52MM,34,F,"144,389",457,0
00978Y74ZX,45,F,"318,032",205,1
00983W88PB,39,M,"241,906",410,1
00986K76BF,34,M,"195,720",44,0
00988D64KD,38,M,"436,892",307,0
00989J36PB,40,M,"328,892",457,0
00989P99TT,31,M,"287,206",865,1
00991S22SR,52,M,"594,865",142,1
00992F39EM,61,F,"243,053",144,0
00993V00RU,59,M,"335,735",696,1
00994U87KV,31,F,"365,858",223,1
00995P51TZ,53,M,"351,715",386,1
00996M74JK,26,F,"368,552",373,0
01000F22UP,46,M,"120,648",144,0
01001K33KH,39,F,"406,216",324,0
01008F40OS,39,F,"723,461",172,0
01008Q99DM,26,F,"350,271",205,1
01009Q00IV,62,M,"112,922",209,0
01015G52MH,40,F,"339,328",489,1
01016U44AD,65,F,"236,016",769,1
01021O87OI,32,M,"177,884",307,1
01024G80SN,64,M,"301,744",525,1
01024T77TL,64,M,"72,138",84,0
01025V55XI,36,F,"287,733",464,1
01026K03TS,30,F,"337,248",265,0
01026W37VZ,37,M,"521,923",184,1
01029J74EU,62,M,"725,155",427,1
01030K68WE,63,M,"154,494",426,1
01031I91IC,26,M,"114,319",287,0
01036B63OU,47,F,"454,235",282,1
01037M22VF,63,M,"535,350",219,1
01037X90QY,55,F,"374,984",352,1
01039S40NE,44,M,"226,511",485,0
01040P22BU,61,M,"570,420",337,1
01041H87VD,36,M,"667,101",169,1
01058C29CA,44,M,"379,859",354,0
01059W32LZ,25,F,"218,589",52,0
01062D39OT,38,M,"451,147",320,1
01067H72OL,27,F,"440,149",219,1
01069V95BZ,34,M,"248,961",398,1
01071U56OU,65,M,"451,333",362,0
01072B91IF,60,F,"479,821",481,1
01074R68ZA,34,M,"209,863",284,1
01077C41QN,61,M,"489,814",870,0
01084S44QF,40,F,"701,277",456,1
01088S10VR,44,M,"375,053",214,1
01089Z30MG,35,M,"215,735",832,1
01090Q97CU,38,M,"444,794",338,0
01093I81KX,54,F,"463,251",820,1
01111S41MP,60,M,"726,145",301,1
01115B12VM,43,M,"382,163",415,0
01115E84NE,26,M,"156,735",862,1
01115L00ID,37,F,"587,728",321,1
01116E98YG,64,M,"356,890",180,0
01117C91ZQ,51,M,"367,024",388,1
01119R35PW,27,M,"293,422",273,1
01119V81EZ,52,F,"495,043",286,1
01121M25DE,37,M,"311,387",262,1
01122K24CQ,33,F,"403,633",259,1
01122U04YX,42,M,"432,658",275,1
01123T67XK,33,M,"192,157",7,1
01124S12FS,53,M,"74,438",198,0
01127D22EI,53,M,"766,460",330,1
01129I96LR,51,F,"251,027",181,0
01129P63AG,47,F,"373,136",947,1
01133L81RM,36,M,"544,405",488,1
01136Y83CP,62,M,"312,569",437,1
01137U37JQ,38,M,"442,213",429,1
01142O70VF,60,F,"278,773",260,0
01142Y75AB,60,F,"321,181",1016,1
01147F40TX,48,M,"375,688",218,1
01147I00YN,40,F,"521,824",585,1
01149Y43AP,37,F,"328,237",55,0
01150J25WQ,30,M,"258,885",405,0
01150O25WT,34,F,"466,139",304,1
01151O52VB,48,M,"360,592",327,0
01151P20QC,43,M,"126,507",400,1
01151S65CN,60,F,"91,605",55,0
01151U07NQ,57,F,"467,715",344,0
01153G04UQ,55,M,"194,008",105,1
01162I66HE,56,F,"418,717",72,0
01163O49BB,43,M,"362,258",326,0
01168U92UH,59,F,"358,632",486,1
01170E37DL,25,M,"210,229",434,1
01177D02SI,65,F,"500,301",838,1
01178S34US,33,F,"244,272",299,0
01181X33GY,44,F,"367,720",43,0
01185T25PE,63,M,"391,285",276,1
01185X55LI,26,F,"250,256",262,0
01187X32PV,56,F,"154,483",435,1
01191Z12SW,48,M,"390,169",338,1
01201C34CR,27,M,"190,820",342,1
01202B27LS,25,M,"223,470",496,1
01202D16CI,43,M,"616,413",488,1
01207M12BE,30,F,"421,264",440,1
01211Z26TM,55,M,"744,584",341,0
01217O13GL,40,M,"261,481",330,0
01218M24CA,33,F,"193,461",337,0
01219F31JE,38,M,"629,440",427,1
01222W90CM,55,M,"209,813",286,0
01229G22XZ,55,F,"187,621",269,0
01230B25YI,55,M,"626,450",355,0
01230Q41MR,30,F,"457,941",451,1
01235Q72WC,26,M,"204,953",454,0
01239I93SO,56,M,"349,492",358,1
01242T24SV,49,F,"462,115",435,1
01248F66UL,56,F,"213,021",978,1
01248J78OL,36,M,"144,461",384,1
01248W16MI,32,M,"182,430",458,1
01249M61OV,56,F,"395,056",451,1
01256I00DB,42,F,"424,968",800,1
01260Z65MJ,38,F,"369,701",691,1
01261N00UV,60,F,"336,363",429,1
01262A70MN,56,F,"170,069",129,0
01264K53ZA,30,F,"362,253",180,1
01264V06YQ,60,F,"184,869",238,0
01266B11JM,55,M,"220,360",883,1
01267J14BB,52,F,"406,371",500,1
01269X42KK,48,F,"387,003",206,1
01272A34ZJ,41,F,"335,448",204,0
01272L91DZ,39,M,"423,928",380,0
01281R96GU,63,F,"503,021",699,0
01282J12RZ,27,M,"284,696",397,1
01283P16QE,40,M,"409,777",340,1
01285R23JP,45,M,"379,523",476,1
01287Y56WB,26,M,"111,299",329,0
01289Q32ZT,35,M,"165,875",189,0
01301S73UW,47,M,"351,466",336,0
01306A61HR,61,F,"439,907",115,0
01307Y56MZ,39,M,"414,981",236,1
01309P43PO,25,F,"421,603",446,1
01313I14RI,40,M,"799,875",423,1
01315M01JZ,40,M,"275,369",388,1
01315V78UP,47,M,"320,075",221,0
01316H43SG,29,F,"164,517",325,0
01326C26MX,41,F,"532,800",351,1
01327S33IW,62,M,"200,148",565,1
01333F92VU,43,M,"248,003",478,1
01333I37CN,26,F,"482,744",392,1
01333U14NG,27,F,"355,050",458,0
01336T52XP,35,M,"102,165",422,1
01337Z14BA,48,F,"469,771",464,1
01338T72OP,45,M,"196,040",436,1
01342I16ML,35,M,"144,078",82,0
01345N44CG,31,F,"304,512",422,1
01346C84YK,31,F,"156,101",129,0
01351A55CA,34,M,"142,028",508,1
01351P26AS,46,M,"397,192",445,1
01353U16FZ,28,F,"269,272",487,1
01354R98LA,59,F,"191,136",577,1
01354T67WW,53,F,"88,621",215,0
01355Q80VJ,34,F,"334,659",436,1
01356F57TA,39,F,"574,168",484,0
01356M83WX,34,F,"336,480",218,1
01357N30JU,54,M,"535,432",434,1
01358N59YL,55,F,"209,859",301,0
01364G45TM,44,F,"330,200",252,0
01369W49CR,47,F,"471,397",306,1
01369W98MB,56,F,"379,280",602,1
01372W11BU,51,F,"152,221",447,1
01376K94JZ,62,F,"493,149",214,1
01380W63OL,55,F,"187,149",429,1
01380X67FY,49,M,"197,610",388,1
01381B03VW,52,F,"292,589",767,1
01382D56FL,41,F,"423,469",521,1
01383M58FX,34,M,"222,326",404,1
01383Q36KW,64,M,"415,455",414,1
01383W35PB,62,M,"708,848",688,1
01384I98ZU,28,M,"105,102",480,0
01388S72KJ,26,M,"108,929",121,0
01393Q21RX,39,M,"331,557",207,1
01398A01WH,47,F,"452,765",226,1
01400H04QG,33,F,"459,331",243,0
01403G09VB,50,M,"321,521",273,1
01404G08EW,40,M,"780,867",51,1
01406B88CG,44,M,"422,416",340,0
01406X95UL,25,M,"211,326",798,0
01408H75PW,59,F,"213,752",803,1
01409K36EC,47,M,"662,544",384,1
01409T59KW,57,F,"167,648",315,1
01415Q91JU,60,M,"762,628",135,0
01417X45HM,54,F,"392,699",334,0
01419G54GG,26,F,"426,376",363,1
01419I84RQ,48,M,"324,878",352,1
01421N84MH,61,F,"187,115",93,1
01421S26YP,54,F,"480,952",975,1
01425M18OD,57,F,"216,427",113,0
01425Y96JL,59,F,"177,619",597,1
01426B52BU,43,M,"386,394",343,0
01426W66OY,26,M,"143,183",70,0
01430O58LI,30,F,"368,253",280,1
01432W09BC,35,M,"153,108",465,1
01436V30AV,55,F,"330,763",348,1
01437C95KI,36,M,"406,444",446,1
01442O52DM,32,F,"214,557",308,0
01442R87BN,30,F,"258,307",344,0
01444X76TY,48,M,"185,427",191,0
01445K60PV,33,F,"344,929",448,1
01447S13RT,44,M,"235,917",402,1
01448C36FL,50,M,"203,749",26,0
01451X67BM,58,M,"538,155",421,1
01456R92SA,40,M,"437,619",324,1
01457G16YL,36,M,"520,576",375,1
01460A27QG,47,F,"682,891",254,1
01464W35DF,36,M,"549,808",250,1
01465B88NC,55,F,"329,208",291,1
01465M23NM,55,F,"203,776",297,0
01469O84GB,27,M,"134,829",326,0
01471R97MB,57,F,"276,072",206,0
01477M84RH,64,M,"548,840",89,0
01478O25DF,64,M,"483,559",198,1
01481R52IF,52,M,"132,704",608,0
01483H74HS,47,F,"771,717",427,1
01483O59HL,53,M,"798,844",372,1
01484J05OQ,27,M,"264,652",217,1
01485W03JJ,50,M,"667,221",8,1
01490I51EZ,48,F,"634,787",359,0
01491N47QL,52,F,"319,269",248,1
01493A83ZJ,25,M,"174,444",88,1
01496T09SX,36,M,"665,789",845,1
01504Y79UO,35,M,"244,566",67,0
01505B94VS,37,M,"366,798",258,0
01506I12AU,43,F,"785,157",390,1
01508E27QQ,25,M,"139,166",1007,0
01510A15KE,65,M,"175,614",144,0
01511H32AX,37,M,"389,044",358,0
01512O88BV,34,F,"316,808",398,1
01513D21JV,26,F,"260,384",227,1
01513V60OL,58,M,"570,833",313,0
01518N47SC,43,F,"732,155",395,1
01521R29DH,34,F,"232,043",423,0
01522T08XX,54,F,"210,957",211,0
01525R30QC,60,F,"468,312",321,1
01529K55DA,62,F,"136,355",622,0
01533X59PC,37,M,"250,115",455,1
01538E02HP,27,M,"259,327",356,1
01541F43OG,36,M,"780,365",370,0
01544I50GY,37,F,"626,283",228,0
01546W12CJ,25,F,"145,587",216,1
01548B49ZM,49,M,"295,069",316,1
01551V94SD,34,M,"159,494",313,0
01553B70KM,55,M,"254,337",434,0
01555A41KX,44,M,"301,631",438,1
01560H49HU,65,F,"457,253",223,0
01562F67QV,47,M,"446,597",402,0
01563A98MO,27,M,"224,144",152,0
01568Z24BR,55,M,"784,432",368,1
01571H79ML,26,F,"465,928",306,0
01571R86PM,35,F,"353,011",365,0
01571V54WL,48,F,"407,728",13,0
01572S74OC,27,F,"310,973",434,0
01579I48BG,27,M,"202,174",62,1
01581A11IP,42,F,"532,925",36,1
01583Q01DX,50,M,"633,069",400,1
01583X31HM,55,M,"422,858",343,1
01586H95YF,65,F,"429,688",464,1
01586P10FW,53,M,"184,484",24,0
01603M69XO,30,F,"376,951",201,0
01604S01EH,46,M,"248,878",120,0
01607Q95MN,44,M,"668,141",246,1
01615X60NX,51,M,"381,384",380,0
01616R83CF,43,M,"445,246",436,1
01620V81EZ,38,F,"321,483",186,0
01621P02NT,65,M,"488,394",42,1
01623P16AH,36,M,"264,908",285,1
01623Y64PC,52,F,"111,512",582,1
01624B54BM,62,M,"202,400",360,0
01630S00GL,30,F,"155,819",438,1
01631X51XI,64,M,"489,525",843,1
01632P00GQ,55,M,"177,193",737,1
01634Z98FG,53,F,"446,400",263,1
01635T18WI,58,F,"418,003",363,1
01636N18FK,54,F,"227,845",363,1
01636R30JC,48,F,"671,565",1017,1
01637A53AR,50,M,"379,562",256,1
01638P64YF,43,F,"487,707",806,1
01644C90QJ,59,F,"328,469",380,0
01648T20OY,33,M,"221,472",339,1
01652B14JD,49,M,"596,664",377,1
01654D47IN,45,M,"118,041",242,0
01657B64YR,64,M,"614,061",224,0
01662Y62NS,49,M,"637,696",70,1
01663E19DQ,53,M,"295,454",27,0
01670K74UH,38,F,"792,251",428,1
01675V76EY,49,F,"284,699",891,1
01676T02PA,55,F,"110,531",819,1
01678H69PF,54,M,"682,432",351,0
01681S87TS,63,F,"336,397",157,0
01685W29EX,45,F,"622,131",468,1
01687Z47DU,58,M,"608,405",398,1
01690T79MT,53,M,"159,378",323,0
01694H90XK,65,M,"799,475",333,1
01696M42IQ,60,F,"410,960",280,1
01697L35RL,44,F,"768,093",293,0
01698Z61TL,63,F,"302,235",212,1
01701Z70ES,44,M,"420,869",240,0
01704J46CC,55,F,"395,427",549,1
01704Q62PQ,30,F,"400,759",270,0
01705O48MC,42,M,"477,763",187,1
01711M32GE,57,M,"744,365",305,1
01711Y45UM,59,M,"708,502",357,0
01713S27WA,60,F,"286,051",154,1
01715J03DL,59,M,"702,876",193,1
01716C73VP,38,F,"631,293",439,1
01716P85GS,65,M,"119,590",893,0
01718X33PC,62,F,"406,832",274,1
01719N87JF,49,M,"585,536",147,1
01722G11DS,39,M,"450,370",267,1
